algo_name,Pretty Name,task,metric,type,value
adaptive_sampling_eta_0.1,Adaptive Sampling,1,FID,erased,173.6994834
first_timestep,First Timestep,1,FID,erased,173.9315519
gaussian_sampling_mean_200_std_100,"Gaussian Sampling (µ = 200, σ = 100)",1,FID,erased,174.1207219
gaussian_sampling_mean_200_std_50,"Gaussian Sampling (µ = 200, σ = 50)",1,FID,erased,183.3475937
gaussian_sampling_mean_300_std_100,"Gaussian Sampling (µ = 300, σ = 100)",1,FID,erased,173.988979
gaussian_sampling_mean_300_std_50,"Gaussian Sampling (µ = 300, σ = 50)",1,FID,erased,174.0163971
importance_sampling,Baseline (Importance Sampling),1,FID,erased,173.7835142
importance_sampling_large,Forget-then-Finteune (Large),1,FID,erased,176.1308774
importance_sampling_large_alternate,Forget-then-Finteune (Alternate),1,FID,erased,176.4804812
importance_sampling_random_all,Forget-then-Finteune (Random),1,FID,erased,177.3121758
importance_sampling_similar_all,Forget-then-Finetune (Similar),1,FID,erased,177.9049394
importance_sampling_similar_specific,Forget-then-Finetune (Similar Specific),1,FID,erased,170.0016065
last_timestep_sampling,Last Timestep,1,FID,erased,174.0201914
adaptive_sampling_eta_0.1,Adaptive Sampling,1,FID,others,173.6994834
first_timestep,First Timestep,1,FID,others,173.9315519
gaussian_sampling_mean_200_std_100,"Gaussian Sampling (µ = 200, σ = 100)",1,FID,others,174.1207219
gaussian_sampling_mean_200_std_50,"Gaussian Sampling (µ = 200, σ = 50)",1,FID,others,183.3475937
gaussian_sampling_mean_300_std_100,"Gaussian Sampling (µ = 300, σ = 100)",1,FID,others,173.988979
gaussian_sampling_mean_300_std_50,"Gaussian Sampling (µ = 300, σ = 50)",1,FID,others,174.0163971
importance_sampling,Baseline (Importance Sampling),1,FID,others,173.7835142
importance_sampling_large,Forget-then-Finteune (Large),1,FID,others,176.1308774
importance_sampling_large_alternate,Forget-then-Finteune (Alternate),1,FID,others,176.4804812
importance_sampling_random_all,Forget-then-Finteune (Random),1,FID,others,177.3121758
importance_sampling_similar_all,Forget-then-Finetune (Similar),1,FID,others,177.9049394
importance_sampling_similar_specific,Forget-then-Finetune (Similar Specific),1,FID,others,170.0016065
last_timestep_sampling,Last Timestep,1,FID,others,174.0201914
